onset	duration	eye	startTime	stopTime
393.964	0.102	L	3456652	3456752
394.574	0.162	L	3457262	3457422
394.568	0.194	R	3457256	3457448
395.968	0.14	L	3458656	3458794
396.544	0.114	L	3459232	3459344
395.966	0.7	R	3458654	3459352
397.096	0.026	L	3459784	3459808
397.09	0.116	R	3459778	3459892
397.368	0.072	L	3460056	3460126
397.364	0.08	R	3460052	3460130
397.83	0.108	L	3460518	3460624
397.822	0.124	R	3460510	3460632
398.45	0.088	L	3461138	3461224
398.446	0.1	R	3461134	3461232
398.954	0.118	L	3461642	3461758
398.954	0.138	R	3461642	3461778
399.542	0.192	L	3462230	3462420
399.54	0.218	R	3462228	3462444
400.486	0.206	L	3463174	3463378
400.482	0.244	R	3463170	3463412
401.178	0.074	R	3463866	3463938
401.188	0.082	L	3463876	3463956
402.056	0.012	R	3464744	3464754
402.806	0.15	L	3465494	3465642
402.792	0.184	R	3465480	3465662
403.73	0.092	L	3466418	3466508
403.734	0.092	R	3466422	3466512
404.282	0.334	L	3466970	3467302
404.284	0.35	R	3466972	3467320
405.166	0.2	L	3467854	3468052
405.164	0.222	R	3467852	3468072
405.636	0.178	L	3468324	3468500
405.634	0.2	R	3468322	3468520
406.222	0.34	L	3468910	3469248
406.222	0.352	R	3468910	3469260
406.82	0.262	L	3469508	3469768
406.822	0.294	R	3469510	3469802
407.484	0.088	L	3470172	3470258
407.918	0.292	L	3470606	3470896
407.932	0.31	R	3470620	3470928
408.894	0.094	L	3471582	3471674
408.892	0.124	R	3471580	3471702
409.778	0.232	L	3472466	3472696
409.772	0.266	R	3472460	3472724
411.202	0.23	L	3473890	3474118
411.458	0.004	L	3474146	3474148
411.19	0.39	R	3473878	3474266
411.614	0.06	R	3474302	3474360
412.478	0.138	L	3475166	3475302
412.474	0.16	R	3475162	3475320
413.282	0.108	L	3475970	3476076
413.268	0.146	R	3475956	3476100
414.366	0.036	R	3477054	3477088
415.058	0.184	L	3477746	3477928
415.048	0.226	R	3477736	3477960
415.866	0.136	L	3478554	3478688
415.868	0.158	R	3478556	3478712
416.614	0.128	L	3479302	3479428
416.618	0.162	R	3479306	3479466
417.118	0.184	L	3479806	3479988
417.1	0.242	R	3479788	3480028
417.938	0.25	R	3480626	3480874
418.796	0.218	R	3481484	3481700
418.794	0.226	L	3481482	3481706
419.486	0.334	L	3482174	3482506
419.482	0.374	R	3482170	3482542
420.232	0.144	L	3482920	3483062
420.232	0.162	R	3482920	3483080
421.068	0.158	L	3483756	3483912
421.074	0.164	R	3483762	3483924
421.732	0.062	L	3484420	3484480
421.724	0.09	R	3484412	3484500
421.982	0.142	L	3484670	3484810
421.974	0.164	R	3484662	3484824
422.564	0.546	L	3485252	3485796
422.562	0.548	R	3485250	3485796
423.486	0.864	L	3486174	3487036
423.488	0.882	R	3486176	3487056
425.176	0.156	L	3487864	3488018
425.178	0.17	R	3487866	3488034
427.21	0.198	L	3489898	3490094
427.208	0.234	R	3489896	3490128
428.008	0.316	L	3490696	3491010
428.0	0.344	R	3490688	3491030
428.762	0.128	L	3491450	3491576
428.748	0.166	R	3491436	3491600
429.43	0.058	R	3492118	3492174
429.678	0.18	L	3492366	3492544
429.664	0.216	R	3492352	3492566
430.218	0.14	L	3492906	3493044
430.212	0.174	R	3492900	3493072
430.844	0.162	L	3493532	3493692
430.84	0.19	R	3493528	3493716
431.69	0.11	L	3494378	3494486
431.688	0.12	R	3494376	3494494
432.42	0.154	L	3495108	3495260
432.418	0.164	R	3495106	3495268
432.918	0.096	L	3495606	3495700
432.926	0.1	R	3495614	3495712
433.652	0.104	L	3496340	3496442
433.652	0.126	R	3496340	3496464
434.104	0.076	L	3496792	3496866
434.104	0.076	R	3496792	3496866
434.448	0.088	L	3497136	3497222
434.716	0.246	L	3497404	3497648
434.442	0.548	R	3497130	3497676
435.314	0.248	L	3498002	3498248
435.316	0.276	R	3498004	3498278
435.948	0.298	L	3498636	3498932
435.948	0.37	R	3498636	3499004
436.71	0.146	R	3499398	3499542
436.718	0.142	L	3499406	3499546
437.402	0.172	L	3500090	3500260
437.406	0.188	R	3500094	3500280
437.796	0.174	L	3500484	3500656
437.79	0.194	R	3500478	3500670
438.384	0.164	L	3501072	3501234
438.374	0.2	R	3501062	3501260
438.872	0.136	L	3501560	3501694
