onset	duration	startTime	stopTime	eventIdentifier	trial_type	trial_number	block_number	is_practice	fixation_color	cue_side	aoi_correct	aoi_incorrect
301.945	0.2	1091213	1091449	BlankScreen	VGS	48	2	False	lime	460	[1035 1515  405  675]	[405 885 405 675]
302.181	1.0	1091449	1092449	ELCue	VGS	48	2	False	lime	460	[1035 1515  405  675]	[405 885 405 675]
336.723	6.0	1125991	1132016	ShowFixation	VGS	49	3	False	lime	40	[ 90 570 405 675]	[1350 1830  405  675]
342.749	0.2	1132017	1132255	BlankScreen	VGS	49	3	False	lime	40	[ 90 570 405 675]	[1350 1830  405  675]
342.987	1.0	1132255	1133255	ELCue	VGS	49	3	False	lime	40	[ 90 570 405 675]	[1350 1830  405  675]
344.409	6.0	1133677	1139708	ShowFixation	VGS	50	3	False	lime	460	[1035 1515  405  675]	[405 885 405 675]
350.44	0.2	1139708	1139947	BlankScreen	VGS	50	3	False	lime	460	[1035 1515  405  675]	[405 885 405 675]
350.679	1.0	1139947	1140947	ELCue	VGS	50	3	False	lime	460	[1035 1515  405  675]	[405 885 405 675]
352.101	2.0	1141369	1143399	ShowFixation	VGS	51	3	False	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
354.131	0.2	1143399	1143634	BlankScreen	VGS	51	3	False	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
354.366	1.0	1143634	1144634	ELCue	VGS	51	3	False	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
355.788	6.0	1145056	1151086	ShowFixation	ANTI	52	3	False	red	600	[ 90 570 405 675]	[1350 1830  405  675]
361.818	0.2	1151086	1151325	BlankScreen	ANTI	52	3	False	red	600	[ 90 570 405 675]	[1350 1830  405  675]
362.057	1.0	1151325	1152325	ELCue	ANTI	52	3	False	red	600	[ 90 570 405 675]	[1350 1830  405  675]
363.464	6.0	1152732	1158760	ShowFixation	VGS	53	3	False	lime	180	[405 885 405 675]	[1035 1515  405  675]
369.492	0.2	1158760	1158999	BlankScreen	VGS	53	3	False	lime	180	[405 885 405 675]	[1035 1515  405  675]
369.731	1.0	1158999	1159999	ELCue	VGS	53	3	False	lime	180	[405 885 405 675]	[1035 1515  405  675]
371.156	6.0	1160424	1166451	ShowFixation	ANTI	54	3	False	red	180	[1035 1515  405  675]	[405 885 405 675]
377.183	0.2	1166451	1166690	BlankScreen	ANTI	54	3	False	red	180	[1035 1515  405  675]	[405 885 405 675]
377.422	1.0	1166690	1167690	ELCue	ANTI	54	3	False	red	180	[1035 1515  405  675]	[405 885 405 675]
378.845	6.0	1168113	1174142	ShowFixation	VGS	55	3	False	lime	40	[ 90 570 405 675]	[1350 1830  405  675]
384.874	0.2	1174142	1174381	BlankScreen	VGS	55	3	False	lime	40	[ 90 570 405 675]	[1350 1830  405  675]
385.113	1.0	1174381	1175381	ELCue	VGS	55	3	False	lime	40	[ 90 570 405 675]	[1350 1830  405  675]
386.533	2.0	1175801	1177833	ShowFixation	VGS	56	3	False	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
388.565	0.2	1177833	1178068	BlankScreen	VGS	56	3	False	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
388.8	1.0	1178068	1179068	ELCue	VGS	56	3	False	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
390.226	2.0	1179494	1181520	ShowFixation	VGS	57	3	False	lime	460	[1035 1515  405  675]	[405 885 405 675]
392.252	0.2	1181520	1181755	BlankScreen	VGS	57	3	False	lime	460	[1035 1515  405  675]	[405 885 405 675]
